Gasolina 93,Gasolina 97,Kerosene,Diesel,GLP,"Fuel Oil
N° 6",
Fecha,US$/m3,US$/m3,US$/m3,US$/m3,US$/ton,US$/tm
07-ene-21,"418,25","431,52","453,71","416,63","561,28","329,47"
31-dic-20,"418,29","438,37","451,35","414,38","521,98","329,59"
24-dic-20,"404,94","424,86","438,35","404,08","491,87","319,53"
17-dic-20,"387,68","404,58","421,57","390,43","480,61","313,71"
10-dic-20,"383,19","403,64","413,07","385,66","465,54","318,5"
03-dic-20,"367,21","383,05","393,86","368,01","448,14","309,47"
26-nov.-20,"356,91","368,78","385,09","354,17","444,77","295,07"
19-nov.-20,"346,46","357,49","375,12","341,64","451,02","280,66"
12-nov.-20,"336,79","349,32","361,44","327,14","442,39","271,91"
05-nov.-20,"346,23","360,97","361,07","326,1","431,17","281,04"
29-oct.-20,"361,77","376,03","366,3","334,67","430,92","290,62"
22-oct.-20,"378,13",395,"368,96","340,43","421,05","284,56"
15-oct.-20,"382,19","399,79","362,75","334,42","412,55","274,69"
08-oct.-20,"372,82","390,29","347,12","323,57","404,95","270,68"
01-oct.-20,"371,32","388,89","343,65","322,69","407,68","273,56"
24-sep-20,"363,51","380,3","343,55","322,06","405,24","272,62"
17-sep-20,"371,39","388,33","356,99","333,38","407,57","281,76"
10-sep-20,"391,19","409,49","377,62","355,18","423,14","298,82"
03-sep-20,"393,18","409,43","383,36","367,43","422,67","308,99"
27-ago-20,"367,65","380,49","375,05","347,33","422,25","301,91"
20-ago-20,"352,89","364,81","378,13","344,13","427,03","292,44"
13-ago-20,"344,47","356,55","376,82","342,8","423,15","282,37"
06-ago-20,"348,28","361,94","382,97","349,38","417,83","277,21"
30-jul-20,"350,39","366,83","379,23","348,6",408,"276,55"
23-jul-20,"350,74","367,06","370,31","341,79","397,05","284,97"
16-jul-20,"347,92","363,65","359,3","335,52","391,35","277,35"
09-jul-20,"339,4","356,66","347,96","324,54","393,04","258,97"
02-jul-20,"336,81","351,33","352,05","321,7","402,89","254,79"
25-jun-20,"331,17","345,95","346,94","316,4","397,19","253,81"
18-jun-20,"320,94","338,64","327,96","301,48","396,61","255,11"
11-jun-20,"302,92","321,02","307,74","285,1","389,2","240,73"
04-jun-20,"288,81","311,84","296,67","275,4","380,73","232,94"
28.may-20,"274,41","302,69","282,51","257,67","366,54","220,71"
21-may-20,"260,33","286,3","265,23","243,34","346,83","205,02"
14-may-20,"256,52","277,53","239,47","240,18","331,64","192,22"
07-may-20,"232,11","254,73","218,98","244,08","333,44","175,52"
30-abr-20,"215,31","239,3","238,65","258,41","340,96","185,03"
23-abr-20,"215,71","240,81","252,38","281,18","347,75","205,08"
16-abr-20,"202,55","227,01","270,49","293,24","324,89","205,12"
09-abr-20,"187,14","208,91","273,3","304,8","330,32","195,08"
02-abr-20,"206,49","231,48","275,47","309,47","340,03","199,16"
26-mar-20,"288,97","318,74","358,71","339,65","356,62","218,58"
19-mar-20,"416,52","442,85","473,76","407,56","384,41","286,63"
12-mar-20,"475,86","499,18","494,29","433,89","402,16","335,8"
05-mar-20,"497,37","522,37","509,12","447,22","398,85","352,4"
27-feb-20,"498,32","527,35","521,54","457,38","377,85","357,75"
20-feb-20,"472,29","502,47","516,07","449,91","383,51","353,64"
13-feb-20,"473,47","504,13","527,67","462,66","383,02","366,6"
06-feb-20,"494,15","524,46","552,75","489,78","405,7","383,15"
30-ene-20,"520,49","550,73","583,49","519,19","420,4","372,14"
23-ene-20,"534,93","566,92","606,55","541,83","411,92","365,24"
16-ene-20,"543,38","580,94","621,87","560,43","415,65","367,34"
09-ene-20,"549,83","585,14","627,99","569,04","421,09","368,47"
02-ene-20,"535,75","561,53","625,75","561,37","444,89","357,88"
26-dic-19,"518,34","541,88","615,32","547,22","457,47","330,55"
19-dic-19,"507,66","537,43","600,27","532,26","441,62","294,84"
12-dic-19,"513,46","549,51","598,07","531,47","450,73","282,09"
05-dic-19,"523,61","559,59","596,68","528,4","467,59","275,48"
28-nov.-19,"518,18","554,19","597,51","526,42","461,11","262,01"
21-nov.-19,"514,49","562,13","602,24","530,79","463,32","286,64"
14-nov.-19,"511,53","557,12","586,52","533,53","404,14","313,12"
07-nov.-19,"511,53","557,12","586,52","533,53","414,79","310,64"
31-oct.-19,"511,53","557,12","586,52","533,53","422,33","314,52"
24-oct.-19,"511,53","557,12","586,52","533,53","422,33","360,6"
17-oct.-19,"511,53","561,48","586,52","533,53","418,24","384,19"
10-oct.-19,"514,37","563,99","587,61","534,41","414,17","380,13"
03-oct.-19,528,"569,2","602,89","547,17","413,07","393,18"
26-sept.-19,"523,01","556,07","595,4","541,79","401,44","378,63"
19-sept.-19,"503,38","535,63","578,01","525,28","381,18","346,2"
12-sept.-19,"494,52","525,16","567,95","517,53","380,21","337,65"
05-sept.-19,"491,52","521,02","563,4","513,05","379,68","324,12"
29-ago-19,"491,38","519,81","563,84","511,76","370,99","320,04"
22-ago-19,"488,7","522,04","560,54","506,19","342,88","333,84"
15-ago-19,"505,64","541,16","570,75","516,13","358,26","378,9"
08-ago-19,"516,94","551,53","582,43","529,54","364,76","406,83"
