id_;Ciiu_cl;GlosaCiiu;Factor
40134;49230;Transporte de carga por carretera;1,873287497
40135;49230;Transporte de carga por carretera;143,4597164
40136;49230;Transporte de carga por carretera;143,4597164
40137;49230;Transporte de carga por carretera;1,873287497
40138;49230;Transporte de carga por carretera;143,4597164
40139;49230;Transporte de carga por carretera;1,873287497
40140;49230;Transporte de carga por carretera;1,873287497
40141;49230;Transporte de carga por carretera;143,4597164
40142;49230;Transporte de carga por carretera;28,73028786
40143;49230;Transporte de carga por carretera;1,873287497
40144;49230;Transporte de carga por carretera;143,4597164
40145;49230;Transporte de carga por carretera;143,4597164
40146;49230;Transporte de carga por carretera;1,873287497
40147;49230;Transporte de carga por carretera;143,4597164
40148;49230;Transporte de carga por carretera;1,873287497
40149;49230;Transporte de carga por carretera;1,873287497
40150;49230;Transporte de carga por carretera;1,873287497
40151;49230;Transporte de carga por carretera;143,4597164
40152;49230;Transporte de carga por carretera;1,873287497
40153;49230;Transporte de carga por carretera;1,873287497
40154;49230;Transporte de carga por carretera;1,873287497
40155;49230;Transporte de carga por carretera;143,4597164
40156;49230;Transporte de carga por carretera;143,4597164
40157;49230;Transporte de carga por carretera;143,4597164
40158;49230;Transporte de carga por carretera;143,4597164
40159;49230;Transporte de carga por carretera;143,4597164
40160;49230;Transporte de carga por carretera;1
40161;49230;Transporte de carga por carretera;143,4597164
40162;49230;Transporte de carga por carretera;1,873287497
40163;49230;Transporte de carga por carretera;1
40164;49230;Transporte de carga por carretera;143,4597164
40165;49230;Transporte de carga por carretera;143,4597164
40166;49230;Transporte de carga por carretera;1,873287497
40167;49230;Transporte de carga por carretera;1,873287497
40168;49230;Transporte de carga por carretera;143,4597164
40169;49230;Transporte de carga por carretera;1,873287497
40170;49230;Transporte de carga por carretera;143,4597164
40171;49230;Transporte de carga por carretera;143,4597164
40172;49230;Transporte de carga por carretera;1,873287497
40173;49230;Transporte de carga por carretera;1,873287497
40174;49230;Transporte de carga por carretera;1,873287497
40175;49230;Transporte de carga por carretera;143,4597164
40176;49230;Transporte de carga por carretera;143,4597164
40177;49230;Transporte de carga por carretera;1,873287497
40178;49230;Transporte de carga por carretera;143,4597164
40179;49230;Transporte de carga por carretera;1,873287497
40180;49230;Transporte de carga por carretera;28,73028786
40181;49230;Transporte de carga por carretera;1,873287497
40182;49230;Transporte de carga por carretera;143,4597164
40183;49230;Transporte de carga por carretera;1,873287497
40184;49230;Transporte de carga por carretera;1,873287497
40185;49230;Transporte de carga por carretera;1,873287497
40186;49230;Transporte de carga por carretera;28,73028786
40187;49230;Transporte de carga por carretera;1,873287497
40188;49230;Transporte de carga por carretera;1,873287497
40189;49230;Transporte de carga por carretera;1,873287497
40190;49230;Transporte de carga por carretera;1,873287497
40191;49230;Transporte de carga por carretera;28,73028786
40192;49230;Transporte de carga por carretera;28,73028786
40193;49230;Transporte de carga por carretera;1,873287497
40194;49230;Transporte de carga por carretera;1,873287497
40195;49230;Transporte de carga por carretera;1,873287497
40196;49230;Transporte de carga por carretera;1,873287497
40197;49230;Transporte de carga por carretera;1,873287497
40198;49230;Transporte de carga por carretera;1,873287497
40199;49230;Transporte de carga por carretera;1,873287497
40200;49230;Transporte de carga por carretera;143,4597164
40201;49230;Transporte de carga por carretera;143,4597164
40202;49230;Transporte de carga por carretera;1,873287497
40203;49230;Transporte de carga por carretera;28,73028786
40204;49230;Transporte de carga por carretera;143,4597164
40205;49230;Transporte de carga por carretera;143,4597164
40206;49230;Transporte de carga por carretera;1
40207;49230;Transporte de carga por carretera;1,873287497
40208;49230;Transporte de carga por carretera;143,4597164
40209;49230;Transporte de carga por carretera;1,873287497
40210;49230;Transporte de carga por carretera;1,873287497
40211;49230;Transporte de carga por carretera;143,4597164
40212;49230;Transporte de carga por carretera;1,873287497
40213;49230;Transporte de carga por carretera;1,873287497
40214;49230;Transporte de carga por carretera;28,73028786
40215;49230;Transporte de carga por carretera;1,873287497
40216;49230;Transporte de carga por carretera;1,873287497
40217;49230;Transporte de carga por carretera;143,4597164
40218;49230;Transporte de carga por carretera;143,4597164
40219;49230;Transporte de carga por carretera;143,4597164
40220;49230;Transporte de carga por carretera;1,873287497
40221;49230;Transporte de carga por carretera;1,873287497
40222;49230;Transporte de carga por carretera;1,873287497
40223;49230;Transporte de carga por carretera;1,873287497
40224;49230;Transporte de carga por carretera;143,4597164
40225;49230;Transporte de carga por carretera;1,873287497
40226;49230;Transporte de carga por carretera;143,4597164
40227;49230;Transporte de carga por carretera;143,4597164
40228;49230;Transporte de carga por carretera;1,873287497
40229;49230;Transporte de carga por carretera;1,873287497
40230;49230;Transporte de carga por carretera;143,4597164
40231;49230;Transporte de carga por carretera;143,4597164
40232;49230;Transporte de carga por carretera;1,873287497
40233;49230;Transporte de carga por carretera;1,873287497
40234;49230;Transporte de carga por carretera;28,73028786
40235;49230;Transporte de carga por carretera;143,4597164
40236;49230;Transporte de carga por carretera;1,873287497
