"id","name","tipo","total"
188,"P BRAKE","Aceite",3
189,"P BRAKE","Aceite",2
190,"P BRAKE","Aceite",1
191,"P BRAKE","Aceite",1
192,"P BRAKE","Aceite",3
193,"P BRAKE","Aceite",5
194,"P BRAKE","Aceite",5
195,"P BRAKE","Aceite",2
196,"P BRAKE","Aceite",5
197,"P BRAKE","Aceite",1
198,"P BRAKE","Aceite",2
199,"P BRAKE","Aceite",4
200,"P BRAKE","Aceite",2
201,"P BRAKE","Aceite",14
203,"P BRAKE","Aceite",5
204,"P BRAKE","Aceite",1
205,"P BRAKE","Aceite",1
206,"P BRAKE","Aceite",1
207,"P BRAKE","Aceite",2
208,"P BRAKE","Aceite",3
209,"P BRAKE","Aceite",2
210,"P BRAKE","Aceite",2
211,"P BRAKE","Aceite",5
212,"P BRAKE","Aceite",2
213,"P BRAKE","Aceite",6
214,"P BRAKE","Aceite",1
215,"P BRAKE","Aceite",1
216,"P BRAKE","Aceite",2
217,"P BRAKE","Aceite",5
218,"P BRAKE","Aceite",2
219,"P BRAKE","Aceite",2
220,"P BRAKE","Aceite",2
221,"P BRAKE","Aceite",3
222,"P BRAKE","Aceite",2
223,"P BRAKE","Aceite",3
224,"P BRAKE","Aceite",2
225,"P BRAKE","Aceite",2
226,"P BRAKE","Aceite",3
227,"P BRAKE","Aceite",1
228,"P BRAKE","Aceite",3
229,"P BRAKE","Aceite",7
230,"P BRAKE","Aceite",2
231,"P BRAKE","Aceite",6
232,"P BRAKE","Aceite",8
233,"P BRAKE","Aceite",1
234,"P BRAKE","Aceite",3
235,"P BRAKE","Aceite",2
236,"P BRAKE","Aceite",1
237,"P BRAKE","Aceite",3
238,"P BRAKE","Aceite",10
239,"P BRAKE","Aceite",3
240,"P BRAKE","Aceite",4
241,"P BRAKE","Aceite",9
242,"P BRAKE","Aceite",1
243,"P BRAKE","Aceite",2
244,"P BRAKE","Aceite",9
245,"P BRAKE","Aceite",2
246,"P BRAKE","Aceite",3
247,"P BRAKE","Aceite",2
248,"P BRAKE","Aceite",1
249,"P BRAKE","Aceite",2
250,"P BRAKE","Aceite",1
251,"P BRAKE","Aceite",1
252,"P BRAKE","Aceite",1
253,"P BRAKE","Aceite",1
254,"P BRAKE","Aceite",1
255,"P BRAKE","Aceite",1
256,"P BRAKE","Aceite",3
257,"P BRAKE","Aceite",5
258,"P BRAKE","Aceite",5
259,"P BRAKE","Aceite",2
260,"P BRAKE","Aceite",2
261,"P BRAKE","Aceite",5
262,"BOMBA ENCENDIDO CHEV N300 MAX 1.2","aceite_elemento",2
264,"KIA RIO 2","Ampolletas",6
265,"F AIRE KA MORNING 1.1","Ampolletas",4
266,"F OIL W 713/34 D-MA","Anticongelante",5
267,"F FUEL OIL COMBUSTIBLE HYUNDAI / H1","Baterias",9
268,"F FUEL COMBUSTIBLE MAZDA B2500","Baterias",1
269,"F AIRE SUBARU","Ampolletas",2
270,"F AIRE CHEVROLET SPARK 1.0 ANTIGUO","Ampolletas",4
271,"F AIRE NISSAN TIIDA","Ampolletas",13
272,"F OIL HK W920/25 MAHINDRA","Anticongelante",12
273,"F OIL HK 920/48 NAVARA","Anticongelante",14
274,"KIA GRAND CARNIVAL","Ampolletas",1
275,"F AIRE HYUNDAI ELANTRA","Ampolletas",3
276,"F AIRE HYUNDAI H1","Ampolletas",9
277,"F AIRE TOYATA HILUX","Ampolletas",15
278,"F FUEL WK 940/6 NISSAN N","Baterias",8
279,"F OIL REXTON/ACTYON","Anticongelante",24
280,"F FUEL WK 940/6 NISSAN D-","Baterias",4
281,"F FUEL TOYOTA PETROLEO","Baterias",13
282,"F AIRE HYUNDAI NEW ACCENT","Ampolletas",7
283,"F AIRE SUZUKI APV C-3220","Ampolletas",16
284,"F AIRE MITSUBISHI","Ampolletas",11
285,"F IRE HYUNDAI FORTER","Ampolletas",1
286,"F AIRE HYUNDA FRONTIER","Ampolletas",2
287,"F AIRE HYUNDAI","Ampolletas",11
288,"F OIL W712/12","Anticongelante",5
289,"F OIL GM OPEL","Anticongelante",11
290,"F OIL GM OPEL","Anticongelante",5
291,"F FUEL COMBUSTIBLE CHEV CAPTIVA 2.0","Baterias",19
292,"F OIL W924/10 MAHINDRA DI","Anticongelante",6
293,"F OIL ACEITE W68/85 CHEV SPARK","Anticongelante",71
294,"F OIL WP920/80 CHEV ISUZU","Anticongelante",6
295,"F OIL W940/18 NISSAN T","Anticongelante",3
296,"F AIRE CHANGAN","Ampolletas",3
297,"F AIRE SSANGYONG 2.0 ACTYON","Ampolletas",12
298,"F AIRE HYUNDAI","Ampolletas",6
299,"F AIRE KIA","Ampolletas",3
300,"F POLEN KIA/HYUNDAI","Bobinas",2
301,"F AIRE HYUNDAI NEW ACCENT RB","Ampolletas",14
302,"F OIL KIA BESTA","Anticongelante",19
303,"F AIRE POLEN KIA/HYUNDAI","Ampolletas",12
304,"F POLEN SUZUKI","Bobinas",2
305,"F POLEN MAZDA","Bobinas",2
306,"F AIRE CHEVROLET","Ampolletas",8
307,"F POLEN OPEL SUZUKI SWIFT 1.2 K12","Bobinas",5
308,"F AIRE CHEVROLET ORLANDO CRUZE","Ampolletas",8
309,"F AIRE CHEVROLET SPARK GT 1.2","Ampolletas",6
310,"F AIRE FIAT FIORINO 1.3","Ampolletas",18
311,"F POLEN CHEVROLET AVEO 1.4","Bobinas",2
312,"F AIRE HYUNDAI I-10 1.1 8V 08 TUCSON 2.0","Ampolletas",10
313,"F AIRE HYUNDAI NEW TUCSON 2.0","Ampolletas",14
314,"F AIRE KIA SOUL 1.6 16V 08","Ampolletas",2
315,"F POLEN KIA CERATO 1.6 07","Bobinas",7
316,"F POLEN HYUNDAI ACCENT RB 1.","Bobinas",4
317,"F AIRE SUZUKI CELERIO","Ampolletas",2
318,"F AIRE SUZUKI SX4 1.6 (MANN","Ampolletas",2
319,"F FUEL GASOLINA HYUNDAI I10 1.1","Baterias",1
320,"F POLEN TOYOTA AURIS 1.6/YAR","Bobinas",17
321,"F AIRE CHEVRLOT SAIL 1.4 16V","Ampolletas",7
322,"F AIRE CHEVROLET D-MAX","Ampolletas",4
323,"F OIL CHEVROLET SAIL 1.4","Anticongelante",10
324,"F AIRE RENAULT MEGANE 1.6 16V","Ampolletas",6
325,"F AIRE CHEVROLET SONIC","Ampolletas",3
326,"F OIL","Anticongelante",22
327,"F FUEL COMBUSTIBLE PEUGEOT BOXER 2.0 HDI PU723X-BF70","Baterias",15
328,"F POLEN CHEVOLET OPTRA DAEWOO","Bobinas",9
329,"F AIRE DODGE","Ampolletas",1
330,"F AIRE SUZUKI CELERIO","Ampolletas",9
331,"F POLEN NISSAN","Bobinas",2
332,"F AIRE ISUZU","Ampolletas",5
333,"F POLEN HYUNDAI","Bobinas",4
334,"F AIRE NISSA","Ampolletas",3
335,"F AIRE SUZUKI","Ampolletas",12
336,"F OIL TOYOTA COROLLA","Anticongelante",2
337,"F OIL W 8018 CHEV .D-MAAX 2","Anticongelante",10
338,"F FUEL KIA SORENTO 2.5 CRDI","Baterias",8
339,"F FUEL CITROEN/PEUGEOT 1.6 H","Baterias",6
340,"F FUEL CITROEN C1 1.4","Baterias",2
341,"F AIRE PEUGEOT","Ampolletas",3
342,"F AIRE TOYOTA","Ampolletas",3
343,"F FUEL COMBUSTIBLE FIAT CHEVROLET","Baterias",4
344,"F AIRE MAHINDRA UK-8900","Ampolletas",4
